entry_time,entry_price,signal_type,tp_price,sl_price,exit_time,exit_price,exit_type,pnl_pct
2023-09-19 21:30:00,27091.1,강력한 반전 (BB 찢고 복귀),27497.466499999995,26820.189,2023-09-20 19:15:00,26820.189,SL,-1.0000000000000002
2023-09-20 01:30:00,27298.6,추세확정 (BB 상단 돌파),27844.572,27025.613999999998,2023-09-20 05:15:00,27025.613999999998,SL,-1.0000000000000029
2023-09-20 04:15:00,27117.9,강력한 반전 (BB 찢고 복귀),27524.6685,26846.721,2023-09-20 19:15:00,26846.721,SL,-1.0000000000000002
2023-09-20 05:15:00,27090.0,강력한 반전 (BB 찢고 복귀),27496.35,26819.1,2023-09-20 19:15:00,26819.1,SL,-1.0000000000000053
2023-09-20 06:00:00,27038.7,강력한 반전 (BB 찢고 복귀),27444.280499999997,26768.313000000002,2023-09-20 19:15:00,26768.313000000002,SL,-0.9999999999999956
2023-09-20 08:45:00,27174.1,추세확정 (BB 상단 돌파),27717.582,26902.358999999997,2023-09-20 19:15:00,26902.358999999997,SL,-1.0000000000000067
2023-09-20 10:15:00,27012.0,역추세 반등 (BB 하단),27282.12,26741.88,2023-09-20 18:30:00,27282.12,TP,0.9999999999999962
2023-09-20 10:15:00,27012.0,강력한 반전 (BB 찢고 복귀),27417.179999999997,26741.88,2023-09-20 19:15:00,26741.88,SL,-0.9999999999999962
2023-09-20 12:45:00,27052.8,강력한 반전 (BB 찢고 복귀),27458.591999999997,26782.272,2023-09-20 19:15:00,26782.272,SL,-0.9999999999999943
2023-09-20 13:45:00,27144.3,추세확정 (BB 상단 돌파),27687.186,26872.857,2023-09-20 19:15:00,26872.857,SL,-0.9999999999999974
2023-09-20 14:15:00,27159.7,추세확정 (BB 상단 돌파),27702.894,26888.103,2023-09-20 19:15:00,26888.103,SL,-1.0000000000000058
2023-09-20 17:15:00,27240.3,추세확정 (BB 상단 돌파),27785.106,26967.897,2023-09-20 19:15:00,26967.897,SL,-0.9999999999999943
2023-09-20 19:45:00,26911.9,역추세 반등 (BB 하단),27181.019,26642.781000000003,2023-09-20 21:15:00,27181.019,TP,0.9999999999999953
2023-09-20 20:00:00,26981.3,역추세 반등 (BB 하단),27251.113,26711.486999999997,2023-09-21 09:30:00,26711.486999999997,SL,-1.000000000000007
2023-09-20 20:00:00,26981.3,강력한 반전 (BB 찢고 복귀),27386.019499999995,26711.486999999997,2023-09-21 09:30:00,26711.486999999997,SL,-1.000000000000007
2023-09-21 01:30:00,26994.6,역추세 반등 (BB 하단),27264.546,26724.654,2023-09-21 09:30:00,26724.654,SL,-0.9999999999999997
2023-09-21 01:30:00,26994.6,강력한 반전 (BB 찢고 복귀),27399.518999999997,26724.654,2023-09-21 09:30:00,26724.654,SL,-0.9999999999999997
2023-09-21 02:45:00,26958.2,역추세 반등 (BB 하단),27227.782,26688.618000000002,2023-09-21 09:30:00,26688.618000000002,SL,-0.9999999999999944
2023-09-21 08:00:00,27005.2,강력한 반전 (BB 찢고 복귀),27410.278,26735.148,2023-09-21 09:30:00,26735.148,SL,-0.9999999999999988
2023-09-21 08:30:00,26964.6,역추세 반등 (BB 하단),27234.246,26694.953999999998,2023-09-21 09:30:00,26694.953999999998,SL,-1.0000000000000024
2023-09-21 08:30:00,26964.6,강력한 반전 (BB 찢고 복귀),27369.068999999996,26694.953999999998,2023-09-21 09:30:00,26694.953999999998,SL,-1.0000000000000024
2023-09-21 09:00:00,26914.9,역추세 반등 (BB 하단),27184.049000000003,26645.751,2023-09-21 10:45:00,26645.751,SL,-1.0000000000000044
2023-09-21 09:00:00,26914.9,강력한 반전 (BB 찢고 복귀),27318.623499999998,26645.751,2023-09-21 10:45:00,26645.751,SL,-1.0000000000000044
2023-09-21 10:15:00,26752.3,역추세 반등 (BB 하단),27019.823,26484.777,2023-09-21 13:30:00,26484.777,SL,-1.000000000000004
2023-09-21 10:15:00,26752.3,강력한 반전 (BB 찢고 복귀),27153.584499999997,26484.777,2023-09-21 13:30:00,26484.777,SL,-1.000000000000004
2023-09-21 11:00:00,26734.9,역추세 반등 (BB 하단),27002.249000000003,26467.551,2023-09-21 13:30:00,26467.551,SL,-1.0000000000000073
