datetime,L_value,L_num
2020-07-23 14:15:00,9440.0,380
2020-07-24 07:00:00,9472.0,381
2020-07-24 13:45:00,9500.0,382
2020-07-24 23:30:00,9512.0,383
2020-07-25 13:30:00,9555.0,384
2020-07-26 01:30:00,9641.5,385
2020-07-26 12:30:00,9811.5,386
2020-07-26 20:00:00,9844.5,387
2020-07-27 08:00:00,10124.5,388
2020-07-27 23:15:00,10808.0,389
2020-07-28 03:30:00,10841.5,390
2020-07-28 10:15:00,10571.0,391
2020-07-28 18:30:00,10844.0,392
2020-07-29 01:00:00,10840.0,393
2020-07-29 09:15:00,10944.5,394
2020-07-29 14:45:00,10994.0,395
2020-07-30 00:00:00,10980.5,396
2020-07-30 02:45:00,10956.5,397
2020-07-30 07:45:00,10902.0,398
2020-07-30 13:00:00,10835.0,399
2020-07-30 21:45:00,11072.5,400
2020-07-31 01:30:00,10963.5,401
2020-07-31 13:30:00,11121.0,402
2020-07-31 18:45:00,11230.0,403
2020-08-01 13:30:00,11505.0,404
2020-08-01 18:30:00,11563.0,405
2020-08-02 04:30:00,10529.5,406
2020-08-02 11:45:00,10946.5,407
2020-08-03 00:00:00,10943.5,408
2020-08-03 23:00:00,11150.0,409
2020-08-04 03:30:00,11234.5,410
2020-08-04 06:15:00,11195.0,411
2020-08-04 13:15:00,11018.5,412
2020-08-04 21:00:00,11171.0,413
2020-08-05 01:15:00,11099.5,414
2020-08-05 22:00:00,11530.0,415
2020-08-06 04:30:00,11571.0,416
2020-08-06 11:00:00,11661.0,417
2020-08-06 21:45:00,11629.5,418
2020-08-07 05:30:00,11732.5,419
2020-08-07 14:15:00,11505.0,420
2020-08-07 18:30:00,11333.5,421
2020-08-08 00:15:00,11538.0,422
2020-08-08 05:15:00,11523.0,423
2020-08-08 08:45:00,11569.0,424
2020-08-08 16:15:00,11603.0,425
2020-08-09 01:45:00,11684.5,426
2020-08-09 06:00:00,11640.0,427
2020-08-09 09:45:00,11616.0,428
2020-08-09 15:00:00,11548.0,429
2020-08-09 17:45:00,11532.0,430
2020-08-10 05:30:00,11941.0,431
2020-08-10 10:30:00,11498.5,432
2020-08-10 15:30:00,11826.0,433
2020-08-10 22:00:00,11777.0,434
2020-08-11 10:00:00,11655.0,435
2020-08-11 16:00:00,11304.0,436
2020-08-11 21:00:00,11144.0,437
2020-08-12 02:15:00,11237.0,438
2020-08-12 06:00:00,11162.0,439
2020-08-12 12:00:00,11440.0,440
2020-08-12 17:15:00,11484.5,441
2020-08-12 21:45:00,11497.5,442
2020-08-13 09:15:00,11293.0,443
2020-08-13 16:15:00,11457.5,444
2020-08-14 03:00:00,11686.5,445
2020-08-14 07:00:00,11659.0,446
2020-08-14 14:15:00,11660.0,447
2020-08-14 21:15:00,11715.0,448
2020-08-15 04:15:00,11838.5,449
2020-08-15 08:30:00,11839.0,450
2020-08-15 12:15:00,11700.0,451
2020-08-15 21:45:00,11750.0,452
2020-08-16 01:00:00,11796.5,453
2020-08-16 12:15:00,11706.5,454
2020-08-16 20:30:00,11810.0,455
2020-08-17 02:30:00,11790.0,456
2020-08-17 06:00:00,11805.0,457
2020-08-17 18:45:00,12300.0,458
2020-08-17 23:45:00,12230.0,459
2020-08-18 06:15:00,12212.0,460
2020-08-18 14:30:00,11801.0,461
2020-08-19 06:15:00,11627.0,462
2020-08-19 10:30:00,11746.0,463
2020-08-19 16:30:00,11661.0,464
2020-08-19 20:15:00,11566.0,465
2020-08-20 06:00:00,11680.5,466
2020-08-20 22:00:00,11814.0,467
2020-08-21 03:00:00,11790.0,468
2020-08-21 12:30:00,11650.0,469
2020-08-21 17:00:00,11610.0,470
2020-08-22 01:00:00,11391.0,471
2020-08-22 04:45:00,11419.0,472
2020-08-22 11:45:00,11553.0,473
2020-08-22 16:45:00,11562.0,474
2020-08-22 20:00:00,11581.0,475
2020-08-23 05:45:00,11573.0,476
2020-08-23 11:45:00,11525.0,477
2020-08-23 21:15:00,11649.0,478
2020-08-24 00:15:00,11605.0,479
2020-08-24 06:00:00,11648.5,480
2020-08-24 19:00:00,11713.0,481
2020-08-25 08:30:00,11535.0,482
2020-08-25 18:00:00,11125.0,483
2020-08-26 00:45:00,11262.0,484
2020-08-26 07:00:00,11305.5,485
2020-08-26 13:30:00,11257.0,486
2020-08-26 22:30:00,11441.5,487
2020-08-27 05:45:00,11340.5,488
2020-08-27 14:00:00,11270.0,489
2020-08-27 17:45:00,11144.0,490
2020-08-28 08:00:00,11364.0,491
2020-08-28 14:45:00,11409.5,492
2020-08-29 02:00:00,11469.0,493
2020-08-29 11:15:00,11426.0,494
2020-08-29 23:45:00,11463.5,495
2020-08-30 08:45:00,11561.0,496
2020-08-30 15:45:00,11572.5,497
2020-08-30 22:00:00,11600.0,498
2020-08-31 08:15:00,11577.0,499
2020-09-01 00:15:00,11537.5,500
2020-09-01 14:00:00,11819.0,501
2020-09-02 11:15:00,11171.0,502
2020-09-02 14:45:00,11214.0,503
2020-09-02 20:15:00,11311.5,504
2020-09-03 07:00:00,11250.0,505
2020-09-03 12:15:00,10650.0,506
2020-09-03 15:30:00,10466.5,507
2020-09-03 23:30:00,9915.0,508
2020-09-04 07:30:00,10100.0,509
2020-09-04 14:45:00,9883.0,510
2020-09-05 04:00:00,10372.0,511
2020-09-05 12:45:00,9980.0,512
2020-09-05 18:45:00,9834.0,513
2020-09-05 23:00:00,9958.5,514
2020-09-06 05:00:00,10005.5,515
2020-09-06 10:15:00,10177.0,516
2020-09-06 15:15:00,10133.0,517
2020-09-06 22:30:00,10189.5,518
2020-09-07 07:00:00,10057.0,519
2020-09-07 12:45:00,9881.0,520
2020-09-07 20:00:00,10091.0,521
2020-09-08 12:15:00,9925.5,522
2020-09-08 18:45:00,9940.0,523
2020-09-08 22:15:00,9838.0,524
2020-09-09 23:15:00,10178.0,525
2020-09-10 09:15:00,10237.5,526
2020-09-10 19:15:00,10255.0,527
2020-09-11 04:00:00,10208.5,528
2020-09-11 12:30:00,10254.5,529
2020-09-11 17:30:00,10272.5,530
2020-09-12 03:00:00,10325.5,531
2020-09-12 07:00:00,10312.5,532
2020-09-12 13:30:00,10276.0,533
2020-09-12 22:15:00,10405.0,534
2020-09-13 01:45:00,10406.0,535
2020-09-13 13:00:00,10264.5,536
2020-09-13 17:15:00,10220.0,537
2020-09-14 00:45:00,10250.0,538
2020-09-14 05:45:00,10314.5,539
2020-09-14 09:00:00,10326.0,540
2020-09-14 18:15:00,10643.0,541
2020-09-14 23:15:00,10616.0,542
2020-09-15 08:30:00,10610.0,543
2020-09-15 16:15:00,10692.0,544
2020-09-16 00:45:00,10665.0,545
2020-09-16 10:30:00,10821.5,546
2020-09-16 14:30:00,10856.0,547
2020-09-17 04:00:00,10841.0,548
2020-09-17 07:30:00,10847.5,549
2020-09-17 13:00:00,10743.0,550
2020-09-18 04:00:00,10875.0,551
2020-09-18 18:00:00,10811.5,552
2020-09-19 08:00:00,10884.0,553
2020-09-19 15:15:00,11050.0,554
2020-09-19 18:15:00,11011.0,555
2020-09-19 22:00:00,11025.5,556
2020-09-20 03:00:00,10900.0,557
2020-09-20 09:30:00,10928.0,558
2020-09-20 13:00:00,10783.0,559
2020-09-20 21:15:00,10820.0,560
2020-09-21 03:15:00,10924.5,561
2020-09-21 14:30:00,10283.5,562
2020-09-22 00:00:00,10361.0,563
2020-09-22 07:30:00,10364.5,564
2020-09-22 12:15:00,10422.5,565
2020-09-22 15:00:00,10427.0,566
2020-09-22 21:00:00,10453.0,567
2020-09-23 20:45:00,10140.0,568
2020-09-24 00:00:00,10196.5,569
2020-09-24 05:45:00,10270.0,570
2020-09-24 13:30:00,10333.0,571
2020-09-24 19:15:00,10591.5,572
2020-09-25 14:00:00,10562.0,573
2020-09-26 01:00:00,10650.0,574
2020-09-26 10:15:00,10666.0,575
2020-09-26 13:00:00,10666.5,576
2020-09-26 20:15:00,10699.0,577
2020-09-27 08:30:00,10611.0,578
2020-09-27 12:00:00,10600.0,579
2020-09-27 15:15:00,10638.0,580
2020-09-27 19:30:00,10703.0,581
2020-09-28 09:30:00,10831.0,582
2020-09-28 12:30:00,10832.0,583
2020-09-28 19:30:00,10842.5,584
2020-09-28 23:45:00,10635.0,585
2020-09-29 02:45:00,10667.0,586
2020-09-29 06:00:00,10666.0,587
2020-09-29 09:45:00,10702.5,588
2020-09-29 13:15:00,10718.0,589
2020-09-29 17:00:00,10638.0,590
2020-09-30 06:00:00,10684.0,591
2020-09-30 09:30:00,10670.5,592
2020-09-30 18:45:00,10681.5,593
2020-10-01 16:45:00,10464.5,594
2020-10-02 05:30:00,10392.5,595
2020-10-02 10:15:00,10392.0,596
2020-10-02 13:15:00,10449.5,597
2020-10-02 21:45:00,10473.0,598
2020-10-03 02:15:00,10527.5,599
2020-10-03 06:00:00,10502.0,600
2020-10-04 01:30:00,10521.0,601
2020-10-04 10:00:00,10573.5,602
2020-10-04 16:00:00,10583.5,603
2020-10-05 06:15:00,10618.0,604
2020-10-05 12:00:00,10650.0,605
2020-10-05 18:15:00,10671.5,606
2020-10-06 08:00:00,10701.0,607
2020-10-06 11:00:00,10648.5,608
2020-10-06 15:00:00,10630.0,609
2020-10-06 21:00:00,10531.0,610
2020-10-07 01:30:00,10554.0,611
2020-10-07 10:30:00,10577.5,612
