lh_num,lh_time,lh_price,lh_pct,bb_position,bb_squeeze,bb_width,trend_1h,trend_4h,short_score,long_score,short_ratio,long_ratio,judgment,result,max_gain,max_drop
90,2020-05-14 23:30:00,9845.5,-0.28358738036157183,above_upper,normal,2.426722014608329,uptrend,uptrend,60,25,70.58823529411765,29.411764705882355,강력 숏,drop,-0.0507846224163333,-5.962114671677421
91,2020-05-15 07:45:00,9715.0,-1.3254786450662692,above_upper,normal,3.031982900489293,uptrend,downtrend,80,10,88.88888888888889,11.11111111111111,강력 숏,drop,-0.18013381369017534,-5.913535769428724
92,2020-05-15 11:30:00,9650.0,-0.6690684508491973,upper_half,tight,1.7694159782625496,sideways,downtrend,75,0,100.0,0.0,강력 숏,drop,-0.2590673575129543,-5.279792746113987
93,2020-05-15 14:30:00,9612.0,-0.39378238341969407,upper_half,tight,1.4460646840146258,sideways,downtrend,75,0,100.0,0.0,강력 숏,drop,-0.03641281731169288,-4.905326674989596
94,2020-05-15 18:15:00,9530.0,-0.8531002913025332,upper_half,tight,1.803796799413105,sideways,downtrend,75,0,100.0,0.0,강력 숏,drop,0.5561385099685179,-4.0870933892969585
95,2020-05-15 22:30:00,9484.5,-0.4774396642182599,upper_half,normal,3.8455745941907287,uptrend,downtrend,70,10,87.5,12.5,강력 숏,drop,1.0385365596499607,-2.788760609415364
96,2020-05-16 13:00:00,9520.0,-0.6574141709276837,above_upper,tight,1.4358558520096387,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,0.005252100840347218,-2.6943277310924385
97,2020-05-17 07:00:00,9563.0,-0.11489450595362216,above_upper,tight,0.6805500354028546,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,rise,3.3776011711805998,-1.1188957440133818
98,2020-05-17 21:15:00,9790.0,-0.9710702002832305,above_upper,tight,0.5622826579769626,sideways,downtrend,85,0,100.0,0.0,강력 숏,drop,1.7109295199182917,-3.1767109295199214
99,2020-05-18 14:30:00,9729.0,-2.2947526989706257,above_upper,tight,1.555881165277796,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,sideways,0.25696371672319085,-1.9272278754239869
100,2020-05-20 00:15:00,9800.0,-0.9700889248181133,above_upper,tight,1.6901693614640168,uptrend,uptrend,65,25,72.22222222222221,27.77777777777778,강력 숏,sideways,0.4948979591836711,-1.5306122448979553
101,2020-05-20 10:00:00,9805.0,-0.44169162816672936,upper_half,tight,0.986170529386402,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,-0.08159102498724868,-4.910759816420196
102,2020-05-20 14:00:00,9797.0,-0.08159102498724868,upper_half,tight,0.7131327243932837,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,drop,-0.16841890374604818,-4.833112177197096
103,2020-05-20 20:45:00,9600.0,-2.0108196386648958,above_upper,tight,1.394571689977512,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.13541666666666563,-3.3802083333333344
104,2020-05-21 00:30:00,9573.0,-0.28124999999999956,upper_half,tight,1.0776607980484705,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,-0.14624464640133894,-3.525540582889375
105,2020-05-21 06:15:00,9529.5,-0.45440300846130155,upper_half,tight,0.8096595653200046,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,drop,-0.026234324990814795,-7.518757542368437
106,2020-05-21 22:30:00,9161.0,-3.8669395036465715,upper_half,normal,3.3159522155200536,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,drop,0.365680602554308,-2.4833533457046197
107,2020-05-22 07:00:00,9112.0,-0.5348761052286877,upper_half,tight,1.7508581320452483,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,1.6736172080772604,-0.691395961369623
108,2020-05-23 07:45:00,9262.5,-0.49417199333942063,upper_half,tight,0.9813556007461071,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,-0.11875843454790536,-1.9487179487179485
109,2020-05-23 14:45:00,9214.5,-0.5182186234817809,above_upper,tight,1.1062412244787856,sideways,downtrend,85,0,100.0,0.0,강력 숏,sideways,0.3092951326713278,-1.1015247707417686
110,2020-05-24 02:30:00,9227.0,-0.1731039705723303,upper_half,tight,0.993475338477454,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,0.7369675951013344,-2.3734691665763474
111,2020-05-24 21:30:00,9077.0,-2.345346960731576,above_upper,tight,1.69189178116658,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.07711799052549928,-4.808857552054646
112,2020-05-25 08:00:00,8876.5,-2.2088795857662213,above_upper,tight,1.1447973149059179,uptrend,uptrend,65,25,72.22222222222221,27.77777777777778,강력 숏,drop,1.0984059032276283,-2.332000225314035
113,2020-05-25 14:00:00,8856.0,-0.2309468822170868,above_upper,tight,1.6257440879297762,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,1.332429990966566,-1.3380758807588045
114,2020-05-25 23:00:00,8934.5,-0.4401604635614009,upper_half,tight,0.9570480379479421,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,0.8562314623090206,-1.1920085063517827
115,2020-05-26 21:00:00,8881.5,-1.4371323937409808,above_upper,tight,1.1422282334676281,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,0.7600067556156054,-0.8669706693689161
116,2020-05-29 08:15:00,9586.5,-0.29122679286494035,above_upper,tight,0.9044292251529832,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.9336045480623834,-2.6808532832629184
117,2020-05-29 14:00:00,9478.0,-1.1317999269806478,upper_half,tight,1.1477164967908615,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,-0.1477104874446078,-1.5667862418231704
118,2020-05-29 17:15:00,9452.5,-0.26904410213125507,upper_half,tight,0.8235621923050372,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,1.5498545358370697,-1.3224014810896634
119,2020-05-29 23:15:00,9447.5,-0.05289605924359009,above_upper,tight,0.5942938660425385,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,sideways,1.6035988356708053,-1.2701772955808432
120,2020-05-30 11:30:00,9579.0,-0.20835503698302116,above_upper,tight,0.8828685925017069,sideways,sideways,65,0,100.0,0.0,강력 숏,sideways,1.6285624804259324,-1.8999895604969175
121,2020-05-30 14:30:00,9569.0,-0.10439503079653356,upper_half,tight,0.7743950710156668,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,1.7347685233566779,-1.7974710001045002
122,2020-05-31 12:00:00,9633.5,-1.0426296866974827,above_upper,tight,0.7647285166703107,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.11937509731665408,-2.5224477085171504
123,2020-05-31 19:15:00,9529.0,-1.0847563190948262,upper_half,tight,0.9268296418664312,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,0.8500367299821621,-1.4534578654633257
124,2020-06-01 07:30:00,9574.0,-0.3746097814776306,above_upper,tight,0.5543566311041095,sideways,uptrend,65,15,81.25,18.75,강력 숏,sideways,0.3290160852308377,-0.8721537497388798
125,2020-06-02 08:00:00,10159.0,-1.8643740340030912,above_upper,tight,0.565430005310361,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,0.2903829117039125,-8.573678511664529
126,2020-06-02 18:15:00,9536.0,-6.404279334543849,lower_half,wide,12.443399034931428,uptrend,sideways,40,10,80.0,20.0,강력 숏,sideways,0.14156879194631156,-1.4786073825503343
